Ticker,Filing_Year,Accession_Number,Sentiment_Score,Positive_Ratio,Negative_Ratio,Neutral_Ratio,Total_Chunks
AAPL,2022,0000320193-22-000108,-0.5002095393422576,0.045339426750110254,0.5455489660923679,0.4091116065366401,45
AAPL,2023,0000320193-23-000106,-0.45082105033446185,0.06025025835477336,0.5110713086892352,0.4286784306168556,43
AAPL,2024,0000320193-24-000123,-0.39326060681857844,0.06988532290878621,0.4631459297273647,0.4669687492264943,44
AAPL,2025,0000320193-25-000079,-0.48694911141964525,0.04344465769827366,0.5303937691179189,0.4261615623465993,44
AMD,2022,0000002488-22-000016,-0.3773100009594841,0.07775548783441384,0.4550654887938979,0.4671790297946026,87
AMD,2023,0000002488-23-000047,-0.37490051461301827,0.07100808161955613,0.4459085962325744,0.4830833328785477,91
AMD,2024,0000002488-24-000012,-0.3661542424083789,0.07876698448700775,0.44492122689538666,0.47631178822110193,101
AMD,2025,0000002488-25-000012,-0.3835533284194147,0.07486391182950076,0.45841724024891545,0.4667188442933063,96
AMD,2026,0000002488-26-000018,-0.3685856603436394,0.08505840236228882,0.45364406270592816,0.4612975309021992,101
GOOG,2022,0001652044-22-000019,-0.36608545548681704,0.07707130632895444,0.44315676181577146,0.4797719291278294,56
GOOG,2023,0001652044-23-000016,-0.3936132368667481,0.0798378146898288,0.4734510515565769,0.44671112585526246,52
GOOG,2024,0001652044-24-000022,-0.3400090028178589,0.07611355349293043,0.4161225563107893,0.5077638946602057,58
GOOG,2025,0001652044-25-000014,-0.3343538243751057,0.07871038796471767,0.4130642123398234,0.5082254089170792,61
GOOG,2026,0001652044-26-000018,-0.3516553943527156,0.07112811491342969,0.4227835092661453,0.5060883754029356,58
META,2022,0001326801-22-000018,-0.464302521198988,0.046749403633110156,0.5110519248320982,0.4421986688163366,111
META,2023,0001326801-23-000013,-0.40321715441734896,0.05494619070187859,0.4581633451192275,0.48689046686758164,115
META,2024,0001326801-24-000012,-0.3989628928172732,0.052702867869107474,0.4516657606863807,0.49563137127927714,124
META,2025,0001326801-25-000017,-0.40600257651425725,0.05274670048961489,0.45874927700387214,0.4885040282264469,127
META,2026,0001628280-26-003942,-0.4204081552845191,0.05052721277030745,0.47093536805482655,0.4785374205832074,123
MSFT,2022,0001564590-22-026876,-0.19259492435273443,0.13248269739286864,0.32507762174560306,0.5424396792317138,68
MSFT,2023,0000950170-23-035122,-0.12987193192214996,0.1545155631148652,0.28438749503701516,0.561096936770498,73
MSFT,2024,0000950170-24-087843,-0.18631053420186447,0.12663257349836263,0.3129431077002271,0.5604243161207115,74
MSFT,2025,0000950170-25-100235,-0.05470821895484441,0.03990826531002919,0.0946164842648736,0.8654752504533413,3825
NVDA,2022,0001045810-22-000036,-0.6207277998121249,0.04927180980642636,0.6699996096185512,0.2807285864320066,45
NVDA,2023,0001045810-23-000017,-0.6215169264003634,0.04700693191791123,0.6685238583182747,0.2844692040573467,55
NVDA,2024,0001045810-24-000029,-0.5871808910742402,0.062371071385076415,0.6495519624593166,0.28807696800392407,65
NVDA,2025,0001045810-25-000023,-0.5716305325851972,0.0641418970895536,0.6357724296747509,0.30008568118015927,66
NVDA,2026,0001045810-26-000021,-0.6894796287233476,0.02532286595669575,0.7148024946800433,0.2598746390431188,64
TSLA,2022,0000950170-22-000796,-0.35345529639827356,0.09133141304233244,0.444786709440606,0.4638818749359676,70
TSLA,2023,0000950170-23-001409,-0.3164584294964488,0.0998314928693267,0.4162899223657755,0.48387859056775384,65
TSLA,2024,0001628280-24-002390,-0.3035567803380008,0.10187174322513434,0.40542852356313513,0.4926997362421109,65
TSLA,2025,0001628280-25-003063,-0.27681066995180814,0.113052694349369,0.38986336430117713,0.4970839482301207,67
TSLA,2026,0001628280-26-003952,-0.3162263246364335,0.0962284410844988,0.4124547657209323,0.4913167889549661,67
